ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	[Q01]Value	[Q02]Value	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	AOI[Screentitle 2]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	Unnamed: 487	screen	idea	attribute	Label	MissingValue
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														5	10:38:48.825	1511862040791901															0			Unclassified	8							1	11	476	68	424	39	450			2,86	162,10	18,23	176,23	10,54	169,16	213,02	203,76	621,37	279,99	205,46	620,24					655,06	655,06	3.57	3.5	0	0					nothing	nothing	nothing		
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														9	10:38:48.828	1511862040795123															0			Unclassified	8							2	33	476	80	428	56	452			8,74	162,21	21,28	175,15	15,01	168,68	213,00	203,75	621,36	279,99	205,44	620,20					655,05	655,05	3.58	3.51	0	0					nothing	nothing	nothing		
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														12	10:38:48.831	1511862040798562															0			Unclassified	8							3	17	478	91	441	54	459			4,62	161,64	24,46	171,57	14,54	166,60	212,98	203,74	621,34	279,99	205,44	620,20					655,03	655,03	3.62	3.56	0	0					nothing	nothing	nothing		
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														15	10:38:48.835	1511862040801787															0	1		Fixation	283							4	17	472	66	437	41	454			4,62	163,12	17,56	172,50	11,09	167,81	212,97	203,74	621,35	279,99	205,44	620,17					655,04	655,04	3.58	3.54	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														19	10:38:48.838	1511862040805234															0	1		Fixation	283							5	13	459	66	423	39	441			3,38	166,62	17,74	176,48	10,56	171,55	212,95	203,73	621,33	279,98	205,43	620,16					655,02	655,02	3.56	3.51	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														22	10:38:48.841	1511862040808456															0	1		Fixation	283							6	8	459	65	423	36	441			2,02	166,78	17,33	176,33	9,67	171,56	212,94	203,72	621,31	279,97	205,43	620,15					654,99	654,99	3.57	3.53	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														25	10:38:48.845	1511862040811902															0	1		Fixation	283							7	15	468	60	445	37	456			4,13	164,33	15,97	170,44	10,05	167,38	212,92	203,72	621,30	279,96	205,43	620,14					654,98	654,98	3.58	3.55	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														29	10:38:48.848	1511862040815116															0	1		Fixation	283							8	13	462	73	437	43	449			3,46	165,91	19,61	172,49	11,54	169,20	212,91	203,70	621,27	279,95	205,44	620,17					654,95	654,95	3.6	3.57	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														32	10:38:48.851	1511862040818565															0	1		Fixation	283							9	12	466	68	426	40	446			3,13	164,88	18,31	175,63	10,72	170,25	212,89	203,70	621,27	279,94	205,44	620,16					654,95	654,95	3.58	3.52	0	0					nothing	nothing	nothing	grey	
21-02-2018	3.4.8	IdeaReductionThesis 1	Participant10	P10	Alert	Alert	SQ10_Rec 01	28-11-2017	2195672	1920 x 1080	SQ10	I-VT filter														35	10:38:48.855	1511862040821795															0	1		Fixation	283							10	11	452	72	412	41	432			3,05	168,58	19,32	179,31	11,18	173,94	212,86	203,70	621,28	279,93	205,44	620,16					654,96	654,96	3.57	3.47	0	0					nothing	nothing	nothing	grey	
