SourceStimuliName,SlideEvent,ET_PupilRight,ET_PupilLeft,ET_DistanceRight,ET_DistanceLeft,ET_ValidityLeft,ET_ValidityRight,Path,Line,Col,ET_GazeLeftx,ET_GazeLefty,ET_GazeRightx,ET_GazeRighty,Timestamp,ET_TimeSignal,type
,,,,-1.0,-1.0,4.0,4.0,,,,,,,,33263137152000,3326276.387,B
,,,,583.355712890625,563.8779296875,0.0,0.0,,,,520.0,206.0,538.0,238.0,33263220087000,3326284.6810000003,B
,,,,583.11181640625,563.9064331054688,0.0,0.0,,,,512.0,205.0,558.0,168.0,33263303368000,3326293.009,B
,,4.087936401367188,4.14617919921875,582.8994750976562,563.9867553710938,0.0,0.0,,,,507.0,205.0,579.0,158.0,33263386867000,3326301.359,B
,,,,582.528076171875,563.95703125,0.0,0.0,,,,499.0,194.0,588.0,127.0,33263469887000,3326309.6610000003,B
,,,,582.1434936523438,563.9999389648438,0.0,0.0,,,,505.0,210.0,591.0,211.0,33263553246000,3326317.994,B
,,4.102996826171875,4.196533203125,581.7485961914064,564.1251220703125,0.0,0.0,,,,507.0,211.0,566.0,193.0,33263636823000,3326326.3540000003,B
,,,,581.181396484375,564.0772705078125,0.0,0.0,,,,519.0,222.0,567.0,194.0,33263719894000,3326334.66,B
,,,,580.6588745117188,564.0928344726562,0.0,0.0,,,,515.0,197.0,585.0,123.0,33263803217000,3326342.992,B
,,4.1854095458984375,4.199066162109375,577.14111328125,564.0623779296875,0.0,0.0,,,,547.0,213.0,585.0,123.0,33263886911999,3326351.3600000003,B
,,,,575.2611083984375,564.7213745117188,0.0,0.0,,,,596.0,250.0,688.0,274.0,33263969888000,3326359.657,B
,,,,574.0659790039064,564.9685668945312,0.0,0.0,,,,724.0,372.0,797.0,416.0,33264053191000,3326367.9880000004,B
,,4.064132690429688,4.18939208984375,573.5930786132812,565.1025390625,0.0,0.0,,,,823.0,513.0,895.0,550.0,33264136782000,3326376.348,B
,,,,573.4849853515625,564.6778564453125,0.0,0.0,,,,860.0,626.0,913.0,656.0,33264220123000,3326384.6810000003,B
,,,,-1.0,-1.0,4.0,4.0,,,,,,,,33264303474000,3326393.0160000003,B
,,3.5537109375,4.15032958984375,573.2034301757812,564.4205322265625,0.0,0.0,,,,852.0,618.0,892.0,754.0,33264386822000,3326401.35,B
,,,,-1.0,-1.0,4.0,4.0,,,,,,,,33264470219000,3326409.688,B
,,,,572.94970703125,563.9970703125,0.0,0.0,,,,879.0,743.0,907.0,738.0,33264553583999,3326418.026,B
,,3.975631713867188,4.1334075927734375,572.5496826171875,563.93505859375,0.0,0.0,,,,879.0,743.0,919.0,719.0,33264636527000,3326426.319,B
,,,,572.7241821289064,563.8010864257812,0.0,0.0,,,,882.0,734.0,913.0,703.0,33264719818000,3326434.649,B
,,,,572.6323852539064,563.858154296875,0.0,0.0,,,,864.0,712.0,900.0,721.0,33264803439000,3326443.011,B
,,3.55950927734375,4.097137451171875,572.0365600585938,563.8568725585938,0.0,0.0,,,,867.0,716.0,905.0,733.0,33264886793000,3326451.344,B
