SourceStimuliName	SlideEvent	ET_PupilRight	ET_PupilLeft	ET_DistanceRight	ET_DistanceLeft	ET_ValidityLeft	ET_ValidityRight	Path	Line	Col	ET_GazeLeftx	ET_GazeLefty	ET_GazeRightx	ET_GazeRighty	Timestamp	ET_TimeSignal	MissingValue	GazePointMissing
		3.952177050845791	0.0623791848748019	-1.0	-1.0	4.0	4.0								33263137152000	3326276.387	both	both
		3.556072500035272	0.22531194543974706	583.355712890625	563.8779296875	0.0	0.0				520.0	206.0	538.0	238.0	33263220087000	3326284.6810000003	both	
		3.1830717516408313	0.5547067208294122	583.11181640625	563.9064331054688	0.0	0.0				512.0	205.0	558.0	168.0	33263303368000	3326293.009	both	
		2.936059515986415	1.0582743415151175	582.8994750976562	563.9867553710938	0.0	0.0				507.0	205.0	579.0	158.0	33263386867000	3326301.359		
		2.8537946651697146	1.6864072871705087	582.528076171875	563.95703125	0.0	0.0				499.0	194.0	588.0	127.0	33263469887000	3326309.6610000003	both	
		2.9224732502333826	2.3607030276140577	582.1434936523438	563.9999389648438	0.0	0.0				505.0	210.0	591.0	211.0	33263553246000	3326317.994	both	
		3.101178684356155	3.004351772123843	581.7485961914064	564.1251220703125	0.0	0.0				507.0	211.0	566.0	193.0	33263636823000	3326326.3540000003		
		3.3410985075684825	3.55858983435435	581.181396484375	564.0772705078125	0.0	0.0				519.0	222.0	567.0	194.0	33263719894000	3326334.66	both	
		3.597752605533482	3.9892200756680714	580.6588745117188	564.0928344726562	0.0	0.0				515.0	197.0	585.0	123.0	33263803217000	3326342.992	both	
		3.8362009862212894	4.286030511528433	577.14111328125	564.0623779296875	0.0	0.0				547.0	213.0	585.0	123.0	33263886911999	3326351.3600000003		
		4.031998918372075	4.457909578042145	575.2611083984375	564.7213745117188	0.0	0.0				596.0	250.0	688.0	274.0	33263969888000	3326359.657	both	
		4.171516748353538	4.526299099953	574.0659790039064	564.9685668945312	0.0	0.0				724.0	372.0	797.0	416.0	33264053191000	3326367.9880000004	both	
		4.2506530122615835	4.518647385138791	573.5930786132812	565.1025390625	0.0	0.0				823.0	513.0	895.0	550.0	33264136782000	3326376.348		
		4.26963735274044	4.462724163373383	573.4849853515625	564.6778564453125	0.0	0.0				860.0	626.0	913.0	656.0	33264220123000	3326384.6810000003	both	
		4.230710679220579	4.382771596180376	-1.0	-1.0	4.0	4.0								33264303474000	3326393.0160000003	both	both
		4.143963747390838	4.2977837374287375	573.2034301757812	564.4205322265625	0.0	0.0				852.0	618.0	892.0	754.0	33264386822000	3326401.35		
		4.031940077672381	4.2209380580249904	-1.0	-1.0	4.0	4.0								33264470219000	3326409.688	both	both
